Date,Symbol,RVOL,ATR
2025-01-10,PFE,0.62,0.49
2025-01-10,TLT,1.16,0.93
2025-01-10,OXY,0.85,1.28
2025-01-10,QYLD,4.14,0.19
2025-01-10,KO,0.83,0.85
2025-01-10,NVDA,0.94,5.97
2025-01-10,OXLC,0.85,0.05
2025-01-10,HOOD,0.63,2.25
2025-01-10,AGNC,1.21,0.16
2025-01-10,SPCE,1.06,0.42
2025-01-10,KO,0.83,0.85
2025-01-10,MO,1.24,0.79
2025-01-10,WBA,4.13,0.58
2025-01-13,PFE,0.55,0.49
2025-01-13,TLT,0.75,0.86
2025-01-13,OXY,1.09,1.31
2025-01-13,KO,0.76,0.87
2025-01-13,NVDA,0.90,6.06
2025-01-13,OXLC,0.87,0.05
2025-01-13,HOOD,0.60,2.19
2025-01-13,AGNC,1.16,0.16
2025-01-13,SPCE,1.17,0.43
2025-01-13,KO,0.76,0.87
2025-01-13,QYLD,2.19,0.20
2025-01-13,MO,0.55,0.77
2025-01-13,WBA,1.40,0.62
2025-01-14,PFE,0.52,0.47
2025-01-14,TLT,0.80,0.82
2025-01-14,OXY,0.60,1.19
2025-01-14,KO,0.70,0.87
2025-01-14,NVDA,0.87,6.01
2025-01-14,OXLC,0.78,0.05
2025-01-14,HOOD,1.39,2.17
2025-01-14,AGNC,0.79,0.15
2025-01-14,SPCE,0.55,0.42
2025-01-14,KO,0.70,0.87
2025-01-14,QYLD,3.10,0.18
2025-01-14,MO,0.68,0.74
2025-01-14,WBA,1.30,0.64
2025-01-14,PFE,0.52,0.47
2025-01-14,TLT,0.80,0.82
2025-01-14,OXY,0.60,1.19
2025-01-14,KO,0.70,0.87
2025-01-14,NVDA,0.87,6.01
2025-01-14,OXLC,0.78,0.05
2025-01-14,HOOD,1.39,2.17
2025-01-14,AGNC,0.79,0.15
2025-01-14,SPCE,0.55,0.42
2025-01-14,KO,0.70,0.87
2025-01-14,QYLD,3.10,0.18
2025-01-14,MO,0.68,0.74
2025-01-14,WBA,1.30,0.64
2025-01-16,PFE,0.77,0.47
2025-01-16,TLT,1.34,0.88
2025-01-16,OXY,0.98,1.18
2025-01-16,KO,0.96,0.85
2025-01-16,NVDA,0.85,6.02
2025-01-16,OXLC,0.91,0.05
2025-01-16,HOOD,1.45,2.39
2025-01-16,AGNC,0.66,0.16
2025-01-16,SPCE,0.77,0.42
2025-01-16,KO,0.96,0.85
2025-01-16,QYLD,1.75,0.20
2025-01-16,MO,0.66,0.73
2025-01-16,WBA,0.99,0.65
2025-01-16,PFE,0.62,0.48
2025-01-16,TLT,0.83,0.89
2025-01-16,OXY,0.53,1.16
2025-01-16,KO,0.70,0.86
2025-01-16,NVDA,0.96,6.16
2025-01-16,OXLC,1.41,0.05
2025-01-16,HOOD,0.83,2.35
2025-01-16,AGNC,0.90,0.16
2025-01-16,SPCE,0.66,0.41
2025-01-16,KO,0.70,0.86
2025-01-16,QYLD,2.19,0.20
2025-01-16,MO,0.74,0.77
2025-01-16,WBA,0.77,0.68
2025-01-17,PFE,0.63,0.49
2025-01-17,TLT,0.73,0.87
2025-01-17,OXY,0.69,1.11
2025-01-17,KO,0.80,0.88
2025-01-17,NVDA,0.93,6.29
2025-01-17,OXLC,0.91,0.05
2025-01-17,HOOD,1.50,2.46
2025-01-17,AGNC,0.90,0.16
2025-01-17,SPCE,1.12,0.39
2025-01-17,KO,0.80,0.88
2025-01-17,QYLD,1.43,0.21
2025-01-17,MO,0.70,0.79
2025-01-17,WBA,1.25,0.70
2025-01-21,PFE,0.61,0.48
2025-01-21,TLT,0.65,0.89
2025-01-21,OXY,1.04,1.16
2025-01-21,KO,0.81,0.89
2025-01-21,NVDA,0.84,6.26
2025-01-21,OXLC,1.09,0.04
2025-01-21,HOOD,1.27,2.48
2025-01-21,AGNC,0.84,0.16
2025-01-21,SPCE,2.73,0.40
2025-01-21,KO,0.81,0.89
2025-01-21,AAPL,1.92,5.88
2025-01-21,QYLD,1.96,0.21
2025-01-21,MO,0.85,0.81
2025-01-21,WBA,2.10,0.81
2025-01-22,PFE,0.82,0.50
2025-01-22,TLT,0.59,0.87
2025-01-22,OXY,0.66,1.17
2025-01-22,KO,0.71,0.89
2025-01-22,NVDA,1.08,6.31
2025-01-22,OXLC,0.84,0.04
2025-01-22,HOOD,0.84,2.47
2025-01-22,AGNC,0.75,0.16
2025-01-22,SPCE,0.90,0.38
2025-01-22,KO,0.71,0.89
2025-01-22,AAPL,1.17,5.83
2025-01-22,QYLD,0.93,0.19
2025-01-22,MO,0.69,0.82
2025-01-22,WBA,0.82,0.82
